iso_code,location,date,population,hope_index_2,fvl7d,vaccination_rate,already_vaccinated,not_vaccinated,vaccination_days,location2
"BLZ","Belize","2021-05-03",397621,3951.049,7602,1.9,7.0,591645.6,545,"Belize"
"BHS","Bahamas","2021-03-14",393248,192.6445,770,0.2,0.0,629086.8,5719,"Bahamas"
"BRB","Barbados","2021-05-20",287371,11048.95,11062,3.8,27.8,331807.6,210,"Barbados"
"LCA","Saint Lucia","2021-05-21",183629,3073.427,2317,1.3,15.3,248938.4,752,"Saint Lucia"
"VCT","Saint Vincent and the Grenadines","2021-05-01",110947,671.3286,665,0.6,8.2,162989.2,1716,"Saint Vincent and the Grenadines"
"SYC","Seychelles","2021-03-30",98340,1521.891,14357,14.6,63.9,56792,28,"The Seychelles"
"ATG","Antigua and Barbuda","2021-04-17",97928,1251.748,1575,1.6,18.3,128045.8,569,"Antigua and Barbuda"
"AND","Andorra","2021-04-12",77265,949.2119,13811,17.9,15.4,104560,53,"Andorra"
"LIE","Liechtenstein","2021-05-13",38137,1937.063,1942,5.1,26.3,44968.2,162,"Liechtenstein"
"SMR","San Marino","2021-05-02",33938,3335.664,5999,17.7,55.1,24359.8,28,"San Marino"
