iso_code,location,date,new_deaths_smoothed_per_million,population,hope_index_2,fvl7d,vaccination_rate,already_vaccinated,not_vaccinated,vaccination_days,death_days,vaccination_rate2,location2,year,month,day
"CIV","Cote d'Ivoire","2021-08-11",.069,27053629,6368.336,221938,0.8,4.4,2.05e+07,1291,2397,4.37,"Cote d'Ivoire","2021","August","11"
"HRV","Croatia","2022-04-22",1.82,4081657,65.82313,954,0.0,56.7,952636.6,13987,103900,56.66,"Croatia","2022","April","22"
"CUB","Cuba","2022-04-21",.038,11317498,20370.63,8636,0.1,94.1,-1597030,-2589,-1110,94.11,"Cuba","2022","April","21"
"CUW","Curacao","2022-04-22",0,164796,183,264,0.2,65.4,24027.8,1274,0,65.42,"Curacao","2022","April","22"
"CYP","Cyprus","2022-02-26",6.537,896005,193.4437,1946,0.2,76.8,28877.98,208,1217,76.78,"Cyprus","2022","February","26"
"CZE","Czechia","2022-04-23",1.345,10724553,157.6686,1986,0.0,64.9,1623262,11443,165105,64.86,"Czechia","2022","April","23"
"COD","Democratic Republic of Congo","2022-01-05",.031,92377986,346.1673,432306,0.5,0.3,7.36e+07,2385,6813,0.29,"Democratic Republic of Congo","2022","January","05"
"DNK","Denmark","2022-04-21",2.113,5813302,35.89451,635,0.0,83.2,-187443.6,-4133,-50772,83.22,"Denmark","2022","April","21"
"DOM","Dominican Republic","2022-04-22",.013,10953714,17097.9,10243,0.1,65.8,1558890,2131,304,65.77,"The Dominican Republic","2022","April","22"
"ECU","Ecuador","2022-04-18",.16,17888474,8033.951,30550,0.2,84.3,-776153.4,-356,-1016,84.34,"Ecuador","2022","April","18"
"EGY","Egypt","2021-12-11",.456,104258327,9831.62,6852034,6.6,28.3,5.39e+07,110,5237,28.32,"Egypt","2021","December","11"
"SLV","El Salvador","2022-04-04",.066,6518500,22009.32,26572,0.4,70.4,627264.9,330,142,70.38,"El Salvador","2022","April","04"
"GNQ","Equatorial Guinea","2021-11-10",.099,1449891,5279.72,2226,0.2,16.9,915326.8,5757,822,16.87,"Equatorial Guinea","2021","November","10"
"EST","Estonia","2022-04-22",2.479,1325188,103.1649,649,0.0,64.9,199869.4,4312,14166,64.92,"Estonia","2022","April","22"
"SWZ","Eswatini","2021-10-24",.975,1172369,359.58,75488,6.4,20.5,698020.2,129,148,20.46,"Eswatini","2021","October","24"
"ETH","Ethiopia","2022-03-18",.005,117876226,296891.4,2193338,1.9,20.7,6.99e+07,446,255,20.71,"Ethiopia","2022","March","18"
"FRO","Faeroe Islands","2022-02-18",5.825,49053,90.90909,14,0.0,85.0,-2472.602,-2473,-706,85.04,"Faeroe Islands","2022","February","18"
"FJI","Fiji","2021-04-20",0,902899,7103,396130,43.9,6.2,666319.2,24,0,6.20,"Fiji","2021","April","20"
"FIN","Finland","2022-03-16",4.892,5548361,670.7438,3416,0.1,81.1,-60931.25,-250,-6778,81.10,"Finland","2022","March","16"
"FRA","France","2022-04-21",1.884,67422000,228.1575,13602,0.0,80.2,-104793.9,-108,-13698,80.16,"France","2022","April","21"
"PYF","French Polynesia","2021-03-09",.506,282534,2314.685,2478,0.9,2.8,218009.2,1232,176,2.84,"French Polynesia","2021","March","09"
"GAB","Gabon","2021-06-23",.125,2278829,5006.993,15792,0.7,1.7,1785175,1583,452,1.66,"Gabon","2021","June","23"
"GMB","Gambia","2021-09-07",.517,2486937,506.2208,3640,0.1,7.2,1809640,6960,8949,7.23,"Gambia","2021","September","07"
"GEO","Georgia","2022-04-21",.395,3979773,530.2355,10274,0.3,40.6,1569291,2138,3360,40.57,"Georgia","2022","April","21"
"DEU","Germany","2022-04-22",2.088,83900471,89.56681,24862,0.0,76.0,3381676,1904,333516,75.97,"Germany","2022","April","22"
"GHA","Ghana","2021-11-18",.005,31732128,156832.2,830648,2.6,8.0,2.29e+07,385,55,7.97,"Ghana","2021","November","18"
"GIB","Gibraltar","2022-04-14",0,33691,91,14,0.0,124.9,-15116.2,-15116,0,124.87,"Gibraltar","2022","April","14"
"GRC","Greece","2022-04-23",4.546,10370747,227.6054,4762,0.0,76.3,387336.4,1139,53684,76.27,"Greece","2022","April","23"
"GRL","Greenland","2022-02-09",2.512,56868,104.8951,56,0.1,72.5,4274.401,1069,153,72.48,"Greenland","2022","February","09"
"GRD","Grenada","2021-05-06",0,113015,229,4788,4.2,11.5,77412,226,0,11.50,"Grenada","2021","May","06"
"GTM","Guatemala","2022-02-25",1.526,18249868,1653.337,97598,0.5,39.4,7414999,1064,29630,39.37,"Guatemala","2022","February","25"
"GIN","Guinea","2022-01-20",.042,13497237,294050.8,5922,0.0,25.1,7414958,17529,10017,25.06,"Guinea","2022","January","20"
"GNB","Guinea-Bissau","2021-11-28",.142,2015490,4996.503,22918,1.1,17.3,1263075,772,220,17.33,"Guinea-Bissau","2021","November","28"
"GUY","Guyana","2022-03-23",0,790329,669,474026,60.0,59.7,160553.2,5,0,59.69,"Guyana","2022","March","23"
"HTI","Haiti","2021-12-29",.012,11541683,1650.35,28154,0.2,1.1,9109410,4530,647,1.07,"Haiti","2021","December","29"
"HND","Honduras","2021-07-16",2.924,10062994,682.4221,1172374,11.7,11.3,6912241,83,2429,11.31,"Honduras","2021","July","16"
"HKG","Hong Kong","2022-04-17",6.979,7552800,603.9003,52801,0.7,87.1,-539938.2,-143,-7547,87.15,"Hong Kong","2022","April","17"
"HUN","Hungary","2022-04-18",1.246,9634162,112.5833,2030,0.0,66.5,1302207,8981,107769,66.48,"Hungary","2022","April","18"
"ISL","Iceland","2021-09-30",0,368792,499,1568,0.4,76.4,13299.61,119,0,76.39,"Iceland","2021","September","30"
"IND","India","2022-04-22",.041,1393409033,24058.86,5967890,0.4,71.7,1.15e+08,270,15529,71.73,"India","2022","April","22"
"IDN","Indonesia","2022-04-23",.115,276361788,27736.67,1426722,0.5,71.9,2.23e+07,218,6958,71.95,"Indonesia","2022","April","23"
"IRN","Iran","2022-04-23",.255,85028760,2501.105,206318,0.2,75.6,3763274,255,5545,75.57,"Iran","2022","April","23"
"IRQ","Iraq","2021-04-16",.951,41179351,242.1889,139790,0.3,0.5,3.27e+07,3279,128368,0.48,"Iraq","2021","April","16"
"IRL","Ireland","2022-04-20",1.778,4982904,235.9715,3588,0.1,81.8,-90675.63,-354,-3134,81.82,"Ireland","2022","April","20"
"IMN","Isle of Man","2022-04-05",3.345,85410,90.90909,77,0.1,81.4,-1204.002,-219,-63,81.41,"Isle of Man","2022","April","05"
"ISR","Israel","2022-04-20",.876,9291000,116.1734,1070,0.0,72.2,727017.9,9512,77458,72.18,"Israel","2022","April","20"
"ITA","Italy","2022-04-23",2.383,60367471,216.6874,13926,0.0,84.1,-2461709,-2475,-356016,84.08,"Italy","2022","April","23"
"JAM","Jamaica","2022-04-22",.817,2973462,233.0177,5127,0.2,26.5,1591042,4344,10551,26.49,"Jamaica","2022","April","22"
"JPN","Japan","2022-04-21",.359,126050796,11966.92,262302,0.2,81.7,-2170105,-116,-5245,81.72,"Japan","2022","April","21"
"JOR","Jordan","2021-12-28",3.561,10269022,373.7935,95758,0.9,42.2,3883276,568,20763,42.18,"Jordan","2021","December","28"
"KAZ","Kazakhstan","2022-03-03",.526,18994958,1073.4,74286,0.4,49.5,5801623,1093,10934,49.46,"Kazakhstan","2022","March","03"
"KEN","Kenya","2022-02-13",.026,54985702,163713.8,1535234,2.8,14.6,3.59e+07,328,468,14.65,"Kenya","2022","February","13"
"KOS","Kosovo","2022-04-22",0,1782115,135,452,0.0,50.6,523266,16214,0,50.64,"Kosovo","2022","April","22"
"KWT","Kuwait","2022-01-23",.33,4328553,5358.292,19432,0.4,77.6,105379.3,76,108,77.57,"Kuwait","2022","January","23"
"KGZ","Kyrgyzstan","2022-04-23",0,6628347,3310,23187,0.3,23.0,3781459,2283,0,22.95,"Kyrgyzstan","2022","April","23"
"LAO","Laos","2022-04-18",.426,7379358,2775.374,127134,1.7,77.7,169442.3,19,59,77.70,"Laos","2022","April","18"
"LVA","Latvia","2022-04-22",2.143,1866934,61.5,416,0.0,72.0,148978.2,5014,20055,72.02,"Latvia","2022","April","22"
"LBN","Lebanon","2022-04-23",.338,6769151,501.3123,5107,0.1,37.3,2890790,7924,18112,37.29,"Lebanon","2022","April","23"
"LBR","Liberia","2021-06-28",.689,5180208,457.5749,25018,0.5,1.5,4064497,2274,8123,1.54,"Liberia","2021","June","28"
"LBY","Libya","2022-03-31",.472,6958538,891.9659,18925,0.3,31.7,3360111,2486,8167,31.71,"Libya","2022","March","31"
"LIE","Liechtenstein","2022-03-24",7.469,38254,48.95105,35,0.1,69.9,3882.2,1553,444,69.85,"Liechtenstein","2022","March","24"
